,job_offer,link,company,redshift,sql,kpi,py,xp,R,business,insights,tableau,looker,qlik,pbi,ab,stakeholders,quant,oper,mgmt,location,Seniority
53,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-bt-1910176968?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=4&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,BT,0,1,0,0,5,0,5,0,1,0,1,0,0,2,0,0,1,London,Not determined
54,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-united-trust-bank-limited-1919612515?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=5&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,United Trust Bank Limited,0,1,0,1,4,1,8,2,0,0,0,0,0,0,0,0,2,London,Not determined
55,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-s3-has-now-joined-trustmarque-part-of-capita-1944315982?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=6&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,S3 has now joined Trustmarque (Part of Capita),0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,London,Not determined
56,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-worldpay-1912543462?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=7&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Worldpay,0,2,0,2,7,0,3,0,0,0,0,0,0,1,0,0,1,London,Not determined
57,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-talentpool-1942110389?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=8&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,TalentPool,0,1,1,0,3,0,1,0,1,0,0,0,0,1,0,0,0,London,Not determined
58,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-butternut-box-1926591285?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=9&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Butternut Box,0,4,0,0,5,0,2,0,1,1,0,0,0,1,0,1,1,London,Not determined
59,Global Data - Index Data Quality Analyst,https://uk.linkedin.com/jobs/view/global-data-index-data-quality-analyst-at-bloomberg-lp-1869872264?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=10&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Bloomberg LP,0,1,0,0,0,0,2,0,0,0,0,0,1,0,2,1,1,London,Not determined
60,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-lloyds-1941713095?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=11&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Lloyds,0,1,1,1,1,1,6,6,0,0,2,0,0,3,0,0,9,London,Not determined
61,Data Analyst,https://uk.linkedin.com/jobs/view/data-analyst-at-fxc-intelligence-1897590665?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=12&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,FXC Intelligence,0,1,0,1,5,0,0,0,1,0,0,0,0,1,0,1,0,London,Not determined
62,Junior Data Analyst,https://uk.linkedin.com/jobs/view/junior-data-analyst-at-iris-1909823452?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=13&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Iris,0,1,0,1,7,1,4,2,1,0,1,0,0,0,0,0,0,London,Junior Position
63,Data Analyst - Growth,https://uk.linkedin.com/jobs/view/data-analyst-growth-at-cleo-ai-1863221252?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=14&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,Cleo AI,0,1,0,1,3,0,7,5,1,1,0,0,1,1,1,0,0,London,Not determined
64,Data Analyst - REMOTE,https://uk.linkedin.com/jobs/view/data-analyst-remote-at-ipresence-ca-1915197603?refId=7e60cdda-670d-47bf-ab1e-195758f62a4c&position=15&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click,iPresence.ca,0,3,0,0,1,1,4,3,0,0,0,0,2,0,1,0,3,London,Not determined
