,job_title,company,salary,location,salary_mean,Temporality,Annualized,Seniority
371,Data Analyst,Zalando,50.301 €,Berlin,50,Yearly,50000,Not determined
372,Data Analyst,Rocket Internet,36 k € - 43 k €,Berlin,40,Yearly,40000,Not determined
373,Data Analyst,N26,31 k € - 40 k €,Berlin,36,Yearly,36000,Not determined
374,Data Analyst - Becario por mes,N26,1 k € - 2 k €,Berlin,2,Monthly,24000,Internship
375,Data Analyst,HelloFresh,41 k € - 45 k €,Berlin,43,Yearly,43000,Not determined
376,Data Analyst,MyToys,43 k € - 51 k €,Berlin,47,Yearly,47000,Not determined
377,Data Analyst,BMW,39 k € - 43 k €,Berlin,41,Yearly,41000,Not determined
378,Data Analyst,Accenture,38 k € - 42 k €,Berlin,40,Yearly,40000,Not determined
379,Data Analyst - Por mes,Deutsche Bank,2 k € - 2 k €,Berlin,2,Monthly,24000,Not determined
380,Data Analyst,Deutsche Bank,57 k € - 60 k €,Berlin,58,Yearly,58000,Not determined
381,Data Analyst - Por hora,Deloitte,13 € - 15 €,Berlin,14,Hourly,25200,Not determined
382,Data Analyst - Por mes,Amazon,2 k € - 2 k €,Berlin,2,Monthly,24000,Not determined
383,Data Analyst,Amazon,39 k € - 42 k €,Berlin,40,Yearly,40000,Not determined
384,Data Analyst,ImmoScout24,50 k € - 54 k €,Berlin,52,Yearly,52000,Not determined
385,Data Analyst - Por mes,HelloFresh,886 € - 957 €,Berlin,922,Monthly,11064,Not determined
386,Data Analyst,Babbel,37 k € - 40 k €,Berlin,38,Yearly,38000,Not determined
387,Data Analyst,AOK,55 k € - 61 k €,Berlin,58,Yearly,58000,Not determined
388,Data Analyst,Blacklane,43 k € - 47 k €,Berlin,45,Yearly,45000,Not determined
389,Data Analyst,Deutsche Kreditbank,62 k € - 68 k €,Berlin,65,Yearly,65000,Not determined
390,Data Analyst,Springer Nature,41 k € - 45 k €,Berlin,43,Yearly,43000,Not determined
391,Data Analyst,Contentful,41 k € - 44 k €,Berlin,42,Yearly,42000,Not determined
392,Data Analyst - Becario por mes,gamigo,2 k € - 2 k €,Berlin,2,Monthly,24000,Internship
393,Data Analyst - Por mes,Honeypot,3 k € - 4 k €,Berlin,4,Monthly,48000,Not determined
394,Data Analyst - Por mes,Facebook,10 k € - 11 k €,Berlin,10,Monthly,120000,Not determined
395,Data Analyst - Por mes,Viafon GmbH,3 k € - 3 k €,Berlin,3,Monthly,36000,Not determined
396,Data Analyst,Metrinomics,58 k € - 63 k €,Berlin,60,Yearly,60000,Not determined
397,Data Analyst,Datapine,26 k € - 28 k €,Berlin,27,Yearly,27000,Not determined
398,Data Analyst - Becario por hora,Datapine,14 € - 15 €,Berlin,14,Hourly,25200,Internship
399,Data Analyst - Proveedor de servicios por mes,Kitchen Stories,3 k € - 3 k €,Berlin,3,Monthly,36000,Not determined
400,Data Analyst,Gerandu,53 k € - 57 k €,Berlin,55,Yearly,55000,Not determined
401,Data Analyst - Por mes,PVB Presse Vertrieb Berlin,2 k € - 2 k €,Berlin,2,Monthly,24000,Not determined
402,Data Analyst,Zeppelin Lab,52 k € - 56 k €,Berlin,54,Yearly,54000,Not determined
403,Data Analyst - Becario por mes,FOURSOURCE,2 k € - 2 k €,Berlin,2,Monthly,24000,Internship
404,Data Analyst - Por hora,Blasty,15 € - 16 €,Berlin,16,Hourly,28800,Not determined
405,Data Analyst - Por mes,Universidad de Chile,2 k € - 2 k €,Berlin,2,Monthly,24000,Not determined
406,Senior Data Analyst,Accenture,39 k € - 41 k €,Berlin,40,Yearly,40000,Senior Position
407,Senior Data Analyst,L'Oréal,84 k R$ - 91 k R$,Berlin,88,Yearly,88000,Senior Position
408,Senior Data Analyst,Aroundhome,55 k € - 60 k €,Berlin,58,Yearly,58000,Senior Position
409,Senior Data Analyst,Capital Bay,77 k € - 84 k €,Berlin,80,Yearly,80000,Senior Position
410,Junior Data Analyst,Deutsche Bank,31 k € - 34 k €,Berlin,32,Yearly,32000,Junior Position
411,Junior Data Analyst - Por mes,E.ON,3 k € - 4 k €,Berlin,4,Monthly,48000,Junior Position
412,Junior Data Analyst,ImmoScout24,45 k € - 48 k €,Berlin,46,Yearly,46000,Junior Position
413,Financial Data Analyst - Por hora,Wayfair,12 € - 14 €,Berlin,13,Hourly,23400,Not determined
414,Financial Data Analyst - Becario por mes,Cubits,810 € - 870 €,Berlin,840,Monthly,10080,Internship
