,job_title,company,salary,location,salary_mean,temp,seniority
535,Data Analyst,Kubrick Group,26.106 £/año,London,26.106,Yearly,Not determined
536,Data Analyst,PwC,33.096 £/año,London,33.096,Yearly,Not determined
537,Data Analyst,KPMG,38.444 £/año,London,38.444,Yearly,Not determined
538,Data Analyst,Sky,40.955 £/año,London,40.955,Yearly,Not determined
539,Data Analyst,Cision,23.689 £/año,London,23.689,Yearly,Not determined
540,Data Analyst,EY,41.838 £/año,London,41.838,Yearly,Not determined
541,Data Analyst,BAE Systems Applied Intelligence,39.576 £/año,London,39.576,Yearly,Not determined
542,Data Analyst,CACI (UK),27.392 £/año,London,27.392,Yearly,Not determined
543,Data Analyst,Deloitte,34.048 £/año,London,34.048,Yearly,Not determined
544,Data Analyst,Ministry of Justice UK,35.550 £/año,London,35.55,Yearly,Not determined
545,Data Analyst - Proveedor de servicios por hora,Kantar Media,29.569 £/año,London,29.569,Hourly,Not determined
546,Data Analyst - Proveedor de servicios,Legal and General Investment Management,57.384 £/año,London,57.384,Yearly,Not determined
547,Data Analyst,BCD Travel,26.036 £/año,London,26.036,Yearly,Not determined
548,Data Analyst,Infectious Media,24.445 £/año,London,24.445,Yearly,Not determined
549,Data Analyst,Tesco,55.000 £/año,London,55.0,Yearly,Not determined
550,Data Analyst,Barclays,47.031 £/año,London,47.031,Yearly,Not determined
551,Data Analyst,Accenture,34.876 £/año,London,34.876,Yearly,Not determined
552,Data Analyst,Marks & Spencer,36.831 £/año,London,36.831,Yearly,Not determined
553,Data Analyst,HSBC Holdings,17 £/h,London,17.0,Yearly,Not determined
554,Data Analyst,HSBC Holdings,45.844 £/año,London,45.844,Yearly,Not determined
555,Data Analyst,Capita,28.392 £/año,London,28.392,Yearly,Not determined
556,Data Analyst,Vodafone,25.070 £/año,London,25.07,Yearly,Not determined
557,Data Analyst,Imperial College London,38.000 £/año,London,38.0,Yearly,Not determined
558,Data Analyst,UBS,60.558 £/año,London,60.558,Yearly,Not determined
559,Data Analyst,Royal Mail,49.788 £/año,London,49.788,Yearly,Not determined
560,Data Analyst,Cognizant Technology Solutions,32.067 £/año,London,32.067,Yearly,Not determined
561,Data Analyst,FDM Group,20.071 £/año,London,20.071,Yearly,Not determined
562,Data Analyst,BDO,28.637 £/año,London,28.637,Yearly,Not determined
563,Data Analyst,CBRE,30.765 £/año,London,30.765,Yearly,Not determined
564,Data Analyst,TalkTalk Group,36.558 £/año,London,36.558,Yearly,Not determined
565,Data Analyst,Bank of England,32.089 £/año,London,32.089,Yearly,Not determined
566,Data Analyst,OMD,28.400 £/año,London,28.4,Yearly,Not determined
